"amt","sogn","koen","alder","civilstand","herred","år"
"Århus","Alrø","mand",50,"gift","Hads",1801
"Århus","Alrø","kvinde",53,"gift","Hads",1801
"Århus","Alrø","mand",50,"gift","Hads",1801
"Århus","Alrø","mand",67,"gift","Hads",1801
"Århus","Alrø","mand",49,"gift","Hads",1801
"Århus","Alrø","mand",22,"ugift","Hads",1801
"Århus","Alrø","mand",18,"ugift","Hads",1801
"Århus","Alrø","mand",14,"ugift","Hads",1801
"Århus","Alrø","mand",11,"ugift","Hads",1801
"Århus","Alrø","kvinde",27,"ugift","Hads",1801
"Århus","Alrø","kvinde",23,"ugift","Hads",1801
"Århus","Alrø","kvinde",22,"ugift","Hads",1801
"Århus","Alrø","kvinde",20,"ugift","Hads",1801
"Århus","Alrø","kvinde",42,"enke","Hads",1801
"Århus","Alrø","mand",16,"ugift","Hads",1801
"Århus","Alrø","mand",14,"ugift","Hads",1801
"Århus","Alrø","kvinde",12,"ugift","Hads",1801
"Århus","Alrø","kvinde",9,"ugift","Hads",1801
"Århus","Alrø","mand",6,"ugift","Hads",1801
"Århus","Alrø","mand",60,"gift","Hads",1801
"Århus","Alrø","mand",59,"ugift","Hads",1801
"Århus","Alrø","mand",49,"ugift","Hads",1801
"Århus","Alrø","mand",42,"ugift","Hads",1801
"Århus","Alrø","kvinde",28,"ugift","Hads",1801
"Århus","Alrø","kvinde",25,"ugift","Hads",1801
"Århus","Alrø","mand",48,"gift","Hads",1801
"Århus","Alrø","kvinde",47,"gift","Hads",1801
"Århus","Alrø","mand",21,"ugift","Hads",1801
"Århus","Alrø","mand",18,"ugift","Hads",1801
"Århus","Alrø","kvinde",13,"ugift","Hads",1801
"Århus","Alrø","mand",10,"ugift","Hads",1801
"Århus","Alrø","mand",7,"ugift","Hads",1801
"Århus","Alrø","mand",3,"ugift","Hads",1801
"Århus","Alrø","mand",22,"ugift","Hads",1801
"Århus","Alrø","kvinde",23,"ugift","Hads",1801
"Århus","Alrø","kvinde",77,"enke","Hads",1801
"Århus","Alrø","mand",51,"gift","Hads",1801
"Århus","Alrø","kvinde",32,"gift","Hads",1801
"Århus","Alrø","kvinde",5,"ugift","Hads",1801
"Århus","Alrø","kvinde",3,"ugift","Hads",1801
"Århus","Alrø","kvinde",1,"ugift","Hads",1801
"Århus","Alrø","mand",36,"ugift","Hads",1801
"Århus","Alrø","mand",11,"ugift","Hads",1801
"Århus","Alrø","kvinde",33,"ugift","Hads",1801
"Århus","Alrø","kvinde",13,"ugift","Hads",1801
"Århus","Alrø","mand",57,"gift","Hads",1801
"Århus","Alrø","kvinde",47,"gift","Hads",1801
"Århus","Alrø","mand",26,"ugift","Hads",1801
"Århus","Alrø","kvinde",24,"ugift","Hads",1801
"Århus","Alrø","mand",21,"ugift","Hads",1801
"Århus","Alrø","mand",19,"ugift","Hads",1801
"Århus","Alrø","mand",18,"ugift","Hads",1801
"Århus","Alrø","mand",36,"gift","Hads",1801
"Århus","Alrø","kvinde",27,"gift","Hads",1801
"Århus","Alrø","kvinde",5,"ugift","Hads",1801
"Århus","Alrø","kvinde",2,"ugift","Hads",1801
"Århus","Alrø","mand",23,"ugift","Hads",1801
"Århus","Alrø","kvinde",18,"ugift","Hads",1801
"Århus","Alrø","mand",12,"ugift","Hads",1801
"Århus","Alrø","mand",66,"gift","Hads",1801
"Århus","Alrø","kvinde",67,"gift","Hads",1801
"Århus","Alrø","mand",35,"gift","Hads",1801
"Århus","Alrø","kvinde",31,"gift","Hads",1801
