"amt","sogn","koen","alder","civilstand","erhverv","herred","år","sektor"
"Århus","Alrø","mand",48,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",51,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",57,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",36,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",35,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",32,"ugift","Skrædder","Hads",1801,"sekundære"
"Århus","Alrø","mand",22,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",27,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",50,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",52,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",52,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",61,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",24,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",42,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",30,"ugift","Skrædder","Hads",1801,"sekundære"
"Århus","Alrø","mand",46,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",32,"gift","Bonde","Hads",1801,"primære"
"Århus","Alrø","mand",30,"gift","Smed","Hads",1801,"sekundære"
"Århus","Astrup","mand",55,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",54,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",29,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",58,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",49,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",45,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",60,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",34,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",46,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",49,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",42,"gift","Jordejer","Ning",1801,"primære"
"Århus","Astrup","mand",39,"gift","Jordejer","Ning",1801,"primære"
"Århus","Astrup","mand",31,"gift","Jordejer","Ning",1801,"primære"
"Århus","Astrup","mand",40,"gift","Væver","Ning",1801,"sekundære"
"Århus","Astrup","mand",31,"ugift","Snedker","Ning",1801,"sekundære"
"Århus","Astrup","mand",61,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",56,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",50,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",36,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",46,"gift","Jordejer","Ning",1801,"primære"
"Århus","Astrup","mand",47,"gift","Jordejer","Ning",1801,"primære"
"Århus","Astrup","mand",46,"gift","Daglejer","Ning",1801,"primære"
"Århus","Astrup","mand",35,"gift","Jordejer","Ning",1801,"primære"
"Århus","Astrup","mand",36,"gift","Jordejer","Ning",1801,"primære"
"Århus","Astrup","mand",33,"gift","Daglejer","Ning",1801,"primære"
"Århus","Astrup","mand",39,"gift","Gaardbeboer","Ning",1801,"primære"
"Århus","Astrup","mand",44,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",38,"ugift","Gaardbeboer","Ning",1801,"primære"
"Århus","Astrup","mand",42,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",27,"gift","Boelsmand","Ning",1801,"primære"
"Århus","Astrup","mand",50,"gift","Jordejer","Ning",1801,"primære"
"Århus","Astrup","mand",48,"gift","Væver","Ning",1801,"sekundære"
"Århus","Astrup","mand",18,"ugift","Væver","Ning",1801,"sekundære"
"Århus","Astrup","mand",72,"gift","Hjulmand","Ning",1801,"sekundære"
"Århus","Astrup","mand",58,"gift","Hjulmand","Ning",1801,"sekundære"
"Århus","Astrup","mand",34,"gift","Snedker","Ning",1801,"sekundære"
"Århus","Astrup","mand",48,"gift","Jordejer","Ning",1801,"primære"
"Århus","Astrup","mand",20,"gift","Væver","Ning",1801,"sekundære"
"Århus","Astrup","mand",36,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",41,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",34,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",46,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",46,"gift","Boelsmand","Ning",1801,"primære"
"Århus","Astrup","mand",51,"gift","Skrædder","Ning",1801,"sekundære"
"Århus","Astrup","mand",41,"gift","Hjulmand","Ning",1801,"sekundære"
"Århus","Astrup","mand",75,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",60,"gift","Bonde","Ning",1801,"primære"
"Århus","Astrup","mand",36,"gift","Boelsmand","Ning",1801,"primære"
"Århus","Astrup","mand",31,"gift","Jordejer","Ning",1801,"primære"
"Århus","Astrup","mand",54,"gift","Jordejer","Ning",1801,"primære"
"Århus","Astrup","mand",36,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",38,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",36,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",36,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",48,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",41,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",52,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",60,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",39,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",58,"gift","Jordejer","Ning",1801,"primære"
"Århus","Beder","mand",58,"gift","Jordejer","Ning",1801,"primære"
"Århus","Beder","mand",28,"gift","Hjulmand","Ning",1801,"sekundære"
"Århus","Beder","mand",48,"gift","Smed","Ning",1801,"sekundære"
"Århus","Beder","mand",45,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",60,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",38,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",34,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",66,"ugift","Skrædder","Ning",1801,"sekundære"
"Århus","Beder","mand",60,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",26,"gift","Bonde","Ning",1801,"primære"
"Århus","Beder","mand",61,"gift","Bonde","Ning",1801,"primære"
